#tag tab name

__TAG__PROVINCE_BEIJING	Beijing
__TAG__PROVINCE_TIANJIN	Tianjin
__TAG__PROVINCE_HEBEI	Hebei
__TAG__PROVINCE_SHANXI	Shanxi
__TAG__PROVINCE_NEIMENG	Neimenggu
__TAG__PROVINCE_LIAONING	Liaoning
__TAG__PROVINCE_JILIN	Jilin
__TAG__PROVINCE_HEILONGJIANG	Heilongjiang
__TAG__PROVINCE_SHANGHAI	Shanghai
__TAG__PROVINCE_JIANGSU	Jiangsu
__TAG__PROVINCE_ZHEJIANG	Zhejiang
__TAG__PROVINCE_ANHUI	Anhui
__TAG__PROVINCE_FUJIAN	Fujian
__TAG__PROVINCE_JIANGXI	Jiangxi
__TAG__PROVINCE_SHANDONG	Shandong
__TAG__PROVINCE_HENAN	Henan
__TAG__PROVINCE_HUBEI	Hubei
__TAG__PROVINCE_HUNAN	Hunan
__TAG__PROVINCE_GUANGDONG	Guangdong
__TAG__PROVINCE_GUANGXI	Guangxi
__TAG__PROVINCE_HAINAN	Hainan
__TAG__PROVINCE_CHONGQING	Chongqing
__TAG__PROVINCE_SICHUAN	Sichuan
__TAG__PROVINCE_GUIZHOU	Guizhou
__TAG__PROVINCE_YUNNAN	Yunnan
__TAG__PROVINCE_XIZANG	Xizang
__TAG__PROVINCE_SHAANXI	Shaanxi
__TAG__PROVINCE_GANSU	Gansu
__TAG__PROVINCE_QINGHAI	Qinghai
__TAG__PROVINCE_NINGXIA	Ningxia
__TAG__PROVINCE_XINJIANG	Xinjiang
__TAG__PROVINCE_TAIWAN	Taiwan
__TAG__PROVINCE_XIANGGANG	Xianggang
__TAG__PROVINCE_AOMEN	Aomen
__TAG__CITY_BEIJING_AREA	Shixiaqu
__TAG__CITY_TIANJIN_AREA	Shixiaqu
__TAG__CITY_HEBEI_SHIJIAZHUANG	Shijiazhuang 
__TAG__CITY_HEBEI_TANGSHAN	Tangshan
__TAG__CITY_HEBEI_QINHUANGDAO	Qinhuangdao
__TAG__CITY_HEBEI_HANDAN	Handan
__TAG__CITY_HEBEI_XINGTAI	Xingtai
__TAG__CITY_HEBEI_BAODING	Baoding
__TAG__CITY_HEBEI_ZHANGJIAKOU	Zhangjiakou
__TAG__CITY_HEBEI_CANGZHOU	Cangzhou
__TAG__CITY_HEBEI_LANGFANG	Langfang
__TAG__CITY_HEBEI_HENGSHUI	Hengshui
__TAG__CITY_SHANXI_TAIYUAN	Taiyuan 
__TAG__CITY_SHANXI_DATONG	Datong
__TAG__CITY_SHANXI_YANGQUAN	Yangquan
